PROJECT_NAME,NFT_ADDRESS,QUARTER,VOLUME,AVERAGE_SALE,TOTAL_FEES,NETWORK,LAYER
higher swatches,0x08b757d8c733e9881f225817516c144b9f378c4d,2024-04-01 00:00:00.000,27683689.4445781,12227.778023224,230.261640628,Base,L2
BOSS,0x04483a3f6435bb96c9dcd3c1edaf4482f7367ba5,2024-04-01 00:00:00.000,15604597.3961785,13982.614154282,563.610000109,Base,L2
based punks,0xcb28749c24af4797808364d71d71539bc01e76d4,2024-04-01 00:00:00.000,9791495.97096816,1012.98323722,341246.300118338,Base,L2
BoredApeYachtClub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,2024-04-01 00:00:00.000,9618916.65721216,52851.190424243,133131.682662729,Ethereum,L1
MutantApeYachtClub,0x60e4d786628fea6478f785a6d7e704777c86a7c6,2024-04-01 00:00:00.000,5431073.41683808,8918.018746861,68459.348335538,Ethereum,L1
onchain gaias,0xa449b4f43d9a33fcdcf397b9cc7aa909012709fd,2024-04-01 00:00:00.000,4266314.16913745,3555.261807615,137070.353575557,Base,L2
swatches by jvmi,0x13dc8261fce63499aa25deb512bb1827b411b83b,2024-04-01 00:00:00.000,3198629.98540408,370.554910265,300671.218627983,Base,L2
Art Blocks,0xa7d8d9ef8d8ce8992df33d8b8cf4aebabd5bd270,2024-04-01 00:00:00.000,3165210.74314055,3976.395405955,118039.710153031,Ethereum,L1
PudgyPenguins,0xbd3531da5cf5857e7cfaa92426877b022e612cf8,2024-04-01 00:00:00.000,3078098.94506566,41595.931690076,71162.532253238,Ethereum,L1
OnChainShiba,0xe6313d1776e4043d906d5b7221be70cf470f5e87,2024-04-01 00:00:00.000,2770497.56527336,15564.593063334,58.276399626,Ethereum,L1
Captain & Company - Ships,0x110df204913976caafd2a7c2738b039b1dbf9088,2024-04-01 00:00:00.000,1328778.86483414,801.918445887,41023.297789702,Arbitrum,L2
lueygi_KEY,0xf5e0dfef32e0e6db9882af1750c08e9497459100,2024-04-01 00:00:00.000,537665.156663869,432.55443014,13441.628916597,Arbitrum,L2
OP Dragons,0xcb9ea6ee627edf9293261d2e0b0d782defe7e536,2024-04-01 00:00:00.000,405564.436283458,6437.530734658,0.01592607442,Optimism,L2
BTC Girls X,0xc606e7824cde4e8070c1bec0bb613519785c55d3,2024-04-01 00:00:00.000,398855.303443587,5113.529531328,0.1389271717,Optimism,L2
Star Heroes,0x086039e83d4b1e18334dff9273c103f228989282,2024-04-01 00:00:00.000,364429.259305264,44.109084883,17852.860033065,Arbitrum,L2
ZTX Genesis Homes,0x35373efc2fd7d852729cae869cc32acc979100bd,2024-04-01 00:00:00.000,131408.502480445,386.495595531,4475.099652442,Arbitrum,L2
Yeetard NFTs,0x2e660787bceccd39f67b8190a5bc4fc3ad3b64f7,2024-04-01 00:00:00.000,116069.983797071,182.213475349,4313.107978189,Arbitrum,L2
3DNS Powered Domain Name,0xbb7b805b257d7c76ca9435b3ffe780355e4c4b17,2024-04-01 00:00:00.000,33865.704472668,1092.442079763,846.265620795,Optimism,L2
Skeleton ERA 💀,0xee834843b5a9e7c1a25af04274d9d18de5308cba,2024-04-01 00:00:00.000,16870.249760941,17.55489049,0.4028579767,Optimism,L2
Cat,0x7a7a63e0a66535be32e8379f8ec6cef1bf6f9c8e,2024-04-01 00:00:00.000,16556.627323506,89.981670236,0.3185277512,Optimism,L2
﻿
