QUARTER,VOLUME_USD,TOTAL_FEES_USD,UNIQUE_TOTAL_USERS,NETWORK,LAYER
2024-04-01 00:00:00.000,1069214.31716428,5117.31550586,8621,Optimism,L2
2024-04-01 00:00:00.000,88328051.2903574,1746791.99817855,224213,Base,L2
2024-04-01 00:00:00.000,4471818.88243489,152433.968327703,22008,Arbitrum,L2
2024-04-01 00:00:00.000,146495068.353519,4000556.840936,119206,Ethereum,L1
2024-01-01 00:00:00.000,7328072.666882,330877.308071293,27181,Arbitrum,L2
2024-01-01 00:00:00.000,313414147.724149,10565566.9107117,207228,Ethereum,L1
2024-01-01 00:00:00.000,663519.283644475,27525.000511395,15267,Optimism,L2
2024-01-01 00:00:00.000,22862096.3716818,887587.641472326,74021,Base,L2
2023-10-01 00:00:00.000,969258.480116814,51100.91491026,23088,Base,L2
2023-10-01 00:00:00.000,5530552.19686567,297115.931238654,53935,Arbitrum,L2
2023-10-01 00:00:00.000,236586.301768759,14587.021134477,14151,Optimism,L2
2023-10-01 00:00:00.000,337226269.634463,10184154.4991514,219847,Ethereum,L1
2023-07-01 00:00:00.000,1235715.37896718,134657.293853809,42927,Base,L2
2023-07-01 00:00:00.000,210891479.449588,9204380.44588905,245918,Ethereum,L1
2023-07-01 00:00:00.000,1457560.19512771,96242.069531218,22758,Arbitrum,L2
2023-07-01 00:00:00.000,300446.327725792,13548.550544849,46082,Optimism,L2
﻿
